BTC_Date,BTC_Close,VIX_Date
2016-01-14,430.3059997558594,2016-01-13
2016-01-15,364.33099365234375,2016-01-13
2016-01-16,387.5360107421875,2016-01-13
2016-01-17,382.29901123046875,2016-01-13
2016-01-18,387.1679992675781,2016-01-13
2016-01-19,380.14898681640625,2016-01-13
2016-01-20,420.2300109863281,2016-01-13
2016-01-21,410.2619934082031,2016-01-13
2016-01-22,382.49200439453125,2016-01-13
2016-01-23,387.4909973144531,2016-01-13
2016-01-24,402.97100830078125,2016-01-13
2016-01-25,391.72601318359375,2016-01-13
2016-01-26,392.15301513671875,2016-01-13
2016-01-27,394.97198486328125,2016-01-13
2016-01-28,380.28900146484375,2016-01-13
2016-01-29,379.4739990234375,2016-01-13
2016-01-30,378.2550048828125,2016-01-13
2016-01-31,368.7669982910156,2016-01-13
2016-02-01,373.0559997558594,2016-01-13
2016-02-02,374.447998046875,2016-01-13
2016-02-03,369.9490051269531,2016-01-13
2016-02-04,389.593994140625,2016-01-13
2016-02-05,386.54901123046875,2016-01-13
2016-02-06,376.5220031738281,2016-01-13
2016-02-07,376.6199951171875,2016-01-13
2016-02-08,373.4469909667969,2016-01-13
2016-02-09,376.02899169921875,2016-01-13
2016-02-10,381.64898681640625,2016-01-13
2016-02-11,379.65399169921875,2016-01-13
2016-02-12,384.26300048828125,2016-01-13
2016-01-16,387.5360107421875,2016-01-15
2016-01-17,382.29901123046875,2016-01-15
2016-01-18,387.1679992675781,2016-01-15
2016-01-19,380.14898681640625,2016-01-15
2016-01-20,420.2300109863281,2016-01-15
2016-01-21,410.2619934082031,2016-01-15
2016-01-22,382.49200439453125,2016-01-15
2016-01-23,387.4909973144531,2016-01-15
2016-01-24,402.97100830078125,2016-01-15
2016-01-25,391.72601318359375,2016-01-15
2016-01-26,392.15301513671875,2016-01-15
2016-01-27,394.97198486328125,2016-01-15
2016-01-28,380.28900146484375,2016-01-15
2016-01-29,379.4739990234375,2016-01-15
2016-01-30,378.2550048828125,2016-01-15
2016-01-31,368.7669982910156,2016-01-15
2016-02-01,373.0559997558594,2016-01-15
2016-02-02,374.447998046875,2016-01-15
2016-02-03,369.9490051269531,2016-01-15
2016-02-04,389.593994140625,2016-01-15
2016-02-05,386.54901123046875,2016-01-15
2016-02-06,376.5220031738281,2016-01-15
2016-02-07,376.6199951171875,2016-01-15
2016-02-08,373.4469909667969,2016-01-15
2016-02-09,376.02899169921875,2016-01-15
2016-02-10,381.64898681640625,2016-01-15
2016-02-11,379.65399169921875,2016-01-15
2016-02-12,384.26300048828125,2016-01-15
2016-02-13,391.8599853515625,2016-01-15
2016-02-14,407.2300109863281,2016-01-15
2016-02-09,376.02899169921875,2016-02-08
2016-02-10,381.64898681640625,2016-02-08
2016-02-11,379.65399169921875,2016-02-08
2016-02-12,384.26300048828125,2016-02-08
2016-02-13,391.8599853515625,2016-02-08
2016-02-14,407.2300109863281,2016-02-08
2016-02-15,400.18499755859375,2016-02-08
2016-02-16,407.4880065917969,2016-02-08
2016-02-17,416.3219909667969,2016-02-08
2016-02-18,422.37298583984375,2016-02-08
2016-02-19,420.7850036621094,2016-02-08
2016-02-20,437.16400146484375,2016-02-08
2016-02-21,438.7980041503906,2016-02-08
2016-02-22,437.74798583984375,2016-02-08
2016-02-23,420.7359924316406,2016-02-08
2016-02-24,424.9549865722656,2016-02-08
2016-02-25,424.54400634765625,2016-02-08
2016-02-26,432.1520080566406,2016-02-08
2016-02-27,432.5190124511719,2016-02-08
2016-02-28,433.5039978027344,2016-02-08
2016-02-29,437.6969909667969,2016-02-08
2016-03-01,435.12298583984375,2016-02-08
2016-03-02,423.989013671875,2016-02-08
2016-03-03,421.6510009765625,2016-02-08
2016-03-04,410.9389953613281,2016-02-08
2016-03-05,400.57000732421875,2016-02-08
2016-03-06,407.7070007324219,2016-02-08
2016-03-07,414.3210144042969,2016-02-08
2016-03-08,413.97198486328125,2016-02-08
2016-03-09,414.8599853515625,2016-02-08
2016-06-25,665.1229858398438,2016-06-24
2016-06-26,629.3670043945312,2016-06-24
2016-06-27,655.2750244140625,2016-06-24
2016-06-28,647.0009765625,2016-06-24
2016-06-29,639.8900146484375,2016-06-24
2016-06-30,673.3369750976562,2016-06-24
2016-07-01,676.2960205078125,2016-06-24
2016-07-02,703.7020263671875,2016-06-24
2016-07-03,658.6640014648438,2016-06-24
2016-07-04,683.6619873046875,2016-06-24
